eartag,species,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc,expt
99,Bovine,26/11/2020,0,1,1,1a,0,0,0,0,0,0,0,0,39.1,Experimental Barn
110,Bovine,26/11/2020,0,1,1,1a,0,0,0,0,0,0,0,0,39.1,Experimental Barn
151,Bovine,26/11/2020,0,1,1,1a,0,0,0,0,0,0,0,0,39.4,Experimental Barn
161,Bovine,26/11/2020,0,1,1,1a,0,0,0,0,0,0,0,0,39.3,Experimental Barn
164,Caprine,26/11/2020,0,1,0,1b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
171,Caprine,26/11/2020,0,1,0,1b,0,0,0,0,0,0,0,0,39,Experimental Barn
182,Caprine,26/11/2020,0,1,0,1b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
180,Caprine,26/11/2020,0,1,0,1b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
152,Bovine,26/11/2020,0,4,1,4a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
155,Bovine,26/11/2020,0,4,1,4a,0,0,0,0,0,0,0,0,39.3,Experimental Barn
158,Bovine,26/11/2020,0,4,1,4a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
159,Bovine,26/11/2020,0,4,1,4a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
165,Caprine,26/11/2020,0,4,0,4b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
166,Caprine,26/11/2020,0,4,0,4b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
176,Caprine,26/11/2020,0,4,0,4b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
181,Caprine,26/11/2020,0,4,0,4b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
113,Bovine,26/11/2020,0,6,1,6a,0,0,0,0,0,0,0,0,38.2,Experimental Barn
149,Bovine,26/11/2020,0,6,1,6a,0,0,0,0,0,0,0,0,39.4,Experimental Barn
156,Bovine,26/11/2020,0,6,1,6a,0,0,0,0,0,0,0,0,39.3,Experimental Barn
153,Bovine,26/11/2020,0,6,1,6a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
162,Caprine,26/11/2020,0,6,0,6b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
169,Caprine,26/11/2020,0,6,0,6b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
173,Caprine,26/11/2020,0,6,0,6b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
185,Caprine,26/11/2020,0,6,0,6b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
172,Caprine,26/11/2020,0,5,1,5a,0,0,0,0,0,0,0,0,39.4,Positive Control
174,Caprine,26/11/2020,0,5,0,5b,0,0,0,0,0,0,0,0,39.2,Positive Control
175,Caprine,26/11/2020,0,5,0,5b,0,0,0,0,0,0,0,0,39.4,Positive Control
179,Caprine,26/11/2020,0,5,1,5a,0,1,0,0,0,0,1,1,39.8,Positive Control
167,Caprine,26/11/2020,0,3,0,3a,0,0,0,0,0,0,0,0,39.2,Negative Control
183,Caprine,26/11/2020,0,3,0,3a,0,0,0,0,0,0,0,0,38.7,Negative Control
99,Bovine,27/11/2020,1,1,1,1a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
110,Bovine,27/11/2020,1,1,1,1a,0,0,0,0,0,0,0,0,38.1,Experimental Barn
151,Bovine,27/11/2020,1,1,1,1a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
161,Bovine,27/11/2020,1,1,1,1a,0,0,0,0,0,0,0,0,39,Experimental Barn
164,Caprine,27/11/2020,1,1,0,1b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
171,Caprine,27/11/2020,1,1,0,1b,0,0,0,0,0,0,0,0,39,Experimental Barn
182,Caprine,27/11/2020,1,1,0,1b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
180,Caprine,27/11/2020,1,1,0,1b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
152,Bovine,27/11/2020,1,4,1,4a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
155,Bovine,27/11/2020,1,4,1,4a,0,0,0,0,0,0,0,0,39.1,Experimental Barn
158,Bovine,27/11/2020,1,4,1,4a,0,0,0,0,0,0,0,0,39.4,Experimental Barn
159,Bovine,27/11/2020,1,4,1,4a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
165,Caprine,27/11/2020,1,4,0,4b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
166,Caprine,27/11/2020,1,4,0,4b,0,0,0,0,0,0,0,0,39,Experimental Barn
176,Caprine,27/11/2020,1,4,0,4b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
181,Caprine,27/11/2020,1,4,0,4b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
113,Bovine,27/11/2020,1,6,1,6a,0,0,0,0,0,0,0,0,38.1,Experimental Barn
149,Bovine,27/11/2020,1,6,1,6a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
156,Bovine,27/11/2020,1,6,1,6a,0,0,0,0,0,0,0,0,38.4,Experimental Barn
153,Bovine,27/11/2020,1,6,1,6a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
162,Caprine,27/11/2020,1,6,0,6b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
169,Caprine,27/11/2020,1,6,0,6b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
173,Caprine,27/11/2020,1,6,0,6b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
185,Caprine,27/11/2020,1,6,0,6b,0,0,0,0,0,0,0,0,38.9,Experimental Barn
172,Caprine,27/11/2020,1,5,1,5a,0,0,0,0,0,0,0,0,39.2,Positive Control
174,Caprine,27/11/2020,1,5,0,5b,0,0,0,0,0,0,0,0,38.7,Positive Control
175,Caprine,27/11/2020,1,5,0,5b,0,0,0,0,0,0,0,0,39.4,Positive Control
179,Caprine,27/11/2020,1,5,1,5a,0,0,0,0,0,0,0,0,38.9,Positive Control
167,Caprine,27/11/2020,1,3,0,3a,0,0,0,0,0,0,0,0,39.3,Negative Control
183,Caprine,27/11/2020,1,3,0,3a,0,0,0,0,0,0,0,0,39.1,Negative Control
99,Bovine,28/11/2020,2,1,1,1a,0,0,0,0,0,0,0,0,38.3,Experimental Barn
110,Bovine,28/11/2020,2,1,1,1a,0,0,0,0,0,0,0,0,38.4,Experimental Barn
151,Bovine,28/11/2020,2,1,1,1a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
161,Bovine,28/11/2020,2,1,1,1a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
164,Caprine,28/11/2020,2,1,0,1b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
171,Caprine,28/11/2020,2,1,0,1b,0,0,0,0,0,0,0,0,38.5,Experimental Barn
182,Caprine,28/11/2020,2,1,0,1b,0,0,0,0,0,0,0,0,38.2,Experimental Barn
180,Caprine,28/11/2020,2,1,0,1b,0,1,0,0,0,0,1,1,39.6,Experimental Barn
152,Bovine,28/11/2020,2,4,1,4a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
155,Bovine,28/11/2020,2,4,1,4a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
158,Bovine,28/11/2020,2,4,1,4a,0,0,0,0,0,0,0,0,39.4,Experimental Barn
159,Bovine,28/11/2020,2,4,1,4a,0,0,0,0,0,0,0,0,38.2,Experimental Barn
165,Caprine,28/11/2020,2,4,0,4b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
166,Caprine,28/11/2020,2,4,0,4b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
176,Caprine,28/11/2020,2,4,0,4b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
181,Caprine,28/11/2020,2,4,0,4b,0,0,0,0,0,0,0,0,38.4,Experimental Barn
113,Bovine,28/11/2020,2,6,1,6a,0,0,0,0,0,0,0,0,37.6,Experimental Barn
149,Bovine,28/11/2020,2,6,1,6a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
156,Bovine,28/11/2020,2,6,1,6a,0,0,0,0,0,0,0,0,38.2,Experimental Barn
153,Bovine,28/11/2020,2,6,1,6a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
162,Caprine,28/11/2020,2,6,0,6b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
169,Caprine,28/11/2020,2,6,0,6b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
173,Caprine,28/11/2020,2,6,0,6b,0,0,0,0,0,0,0,0,38.9,Experimental Barn
185,Caprine,28/11/2020,2,6,0,6b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
172,Caprine,28/11/2020,2,5,1,5a,0,0,0,0,0,0,0,0,39,Positive Control
174,Caprine,28/11/2020,2,5,0,5b,0,0,0,0,0,0,0,0,38.5,Positive Control
175,Caprine,28/11/2020,2,5,0,5b,0,0,0,0,0,0,0,0,38.9,Positive Control
179,Caprine,28/11/2020,2,5,1,5a,0,0,0,0,0,0,0,0,39.3,Positive Control
167,Caprine,28/11/2020,2,3,0,3a,0,0,0,0,0,0,0,0,38.9,Negative Control
183,Caprine,28/11/2020,2,3,0,3a,0,0,0,0,0,0,0,0,39.1,Negative Control
99,Bovine,29/11/2020,3,1,1,1a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
110,Bovine,29/11/2020,3,1,1,1a,0,0,0,0,0,0,0,0,38.1,Experimental Barn
151,Bovine,29/11/2020,3,1,1,1a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
161,Bovine,29/11/2020,3,1,1,1a,0,0,0,0,0,0,0,0,39,Experimental Barn
164,Caprine,29/11/2020,3,1,0,1b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
171,Caprine,29/11/2020,3,1,0,1b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
182,Caprine,29/11/2020,3,1,0,1b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
180,Caprine,29/11/2020,3,1,0,1b,0,0,0,0,0,0,0,0,38.9,Experimental Barn
152,Bovine,29/11/2020,3,4,1,4a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
155,Bovine,29/11/2020,3,4,1,4a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
158,Bovine,29/11/2020,3,4,1,4a,0,0,0,0,0,0,0,0,39.3,Experimental Barn
159,Bovine,29/11/2020,3,4,1,4a,0,0,0,0,0,0,0,0,38.3,Experimental Barn
165,Caprine,29/11/2020,3,4,0,4b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
166,Caprine,29/11/2020,3,4,0,4b,0,0,0,0,0,0,0,0,38.5,Experimental Barn
176,Caprine,29/11/2020,3,4,0,4b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
181,Caprine,29/11/2020,3,4,0,4b,0,0,0,0,0,0,0,0,38.2,Experimental Barn
113,Bovine,29/11/2020,3,6,1,6a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
149,Bovine,29/11/2020,3,6,1,6a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
156,Bovine,29/11/2020,3,6,1,6a,0,0,0,0,0,0,0,0,38.3,Experimental Barn
153,Bovine,29/11/2020,3,6,1,6a,0,0,0,0,0,0,0,0,39.1,Experimental Barn
162,Caprine,29/11/2020,3,6,0,6b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
169,Caprine,29/11/2020,3,6,0,6b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
173,Caprine,29/11/2020,3,6,0,6b,0,0,0,0,0,0,0,0,38.9,Experimental Barn
185,Caprine,29/11/2020,3,6,0,6b,0,0,0,0,0,0,0,0,38.4,Experimental Barn
172,Caprine,29/11/2020,3,5,1,5a,0,0,0,0,0,0,0,0,39.1,Positive Control
174,Caprine,29/11/2020,3,5,0,5b,0,0,0,0,0,0,0,0,38.5,Positive Control
175,Caprine,29/11/2020,3,5,0,5b,0,0,0,0,0,0,0,0,38.7,Positive Control
179,Caprine,29/11/2020,3,5,1,5a,0,0,0,0,0,0,0,0,38.8,Positive Control
167,Caprine,29/11/2020,3,3,0,3a,0,0,0,0,0,0,0,0,38.7,Negative Control
183,Caprine,29/11/2020,3,3,0,3a,0,0,0,0,0,0,0,0,38.9,Negative Control
99,Bovine,30/11/2020,4,1,1,1a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
110,Bovine,30/11/2020,4,1,1,1a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
151,Bovine,30/11/2020,4,1,1,1a,0,0,0,0,0,0,0,0,39,Experimental Barn
161,Bovine,30/11/2020,4,1,1,1a,0,0,0,0,0,0,0,0,39.1,Experimental Barn
164,Caprine,30/11/2020,4,1,0,1b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
171,Caprine,30/11/2020,4,1,0,1b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
182,Caprine,30/11/2020,4,1,0,1b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
180,Caprine,30/11/2020,4,1,0,1b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
152,Bovine,30/11/2020,4,4,1,4a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
155,Bovine,30/11/2020,4,4,1,4a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
158,Bovine,30/11/2020,4,4,1,4a,0,0,0,0,0,0,0,0,39.3,Experimental Barn
159,Bovine,30/11/2020,4,4,1,4a,0,0,0,0,0,0,0,0,38.3,Experimental Barn
165,Caprine,30/11/2020,4,4,0,4b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
166,Caprine,30/11/2020,4,4,0,4b,0,0,0,0,0,0,0,0,38.5,Experimental Barn
176,Caprine,30/11/2020,4,4,0,4b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
181,Caprine,30/11/2020,4,4,0,4b,0,0,0,0,0,0,0,0,38.2,Experimental Barn
113,Bovine,30/11/2020,4,6,1,6a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
149,Bovine,30/11/2020,4,6,1,6a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
156,Bovine,30/11/2020,4,6,1,6a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
153,Bovine,30/11/2020,4,6,1,6a,0,0,0,0,0,0,0,0,39,Experimental Barn
162,Caprine,30/11/2020,4,6,0,6b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
169,Caprine,30/11/2020,4,6,0,6b,0,1,0,0,0,0,1,1,39.8,Experimental Barn
173,Caprine,30/11/2020,4,6,0,6b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
185,Caprine,30/11/2020,4,6,0,6b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
172,Caprine,30/11/2020,4,5,1,5a,1,2,0,0,0,1,4,4,40.6,Positive Control
174,Caprine,30/11/2020,4,5,0,5b,0,0,0,0,0,0,0,0,39.1,Positive Control
175,Caprine,30/11/2020,4,5,0,5b,1,0,0,1,0,0,2,2,39,Positive Control
179,Caprine,30/11/2020,4,5,1,5a,0,0,0,0,0,0,0,0,39.1,Positive Control
167,Caprine,30/11/2020,4,3,0,3a,0,0,0,0,0,0,0,0,38.8,Negative Control
183,Caprine,30/11/2020,4,3,0,3a,0,0,0,0,0,0,0,0,39.1,Negative Control
99,Bovine,1/12/2020,5,1,1,1a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
110,Bovine,1/12/2020,5,1,1,1a,0,1,0,0,0,0,1,1,39.7,Experimental Barn
151,Bovine,1/12/2020,5,1,1,1a,0,1,0,0,0,0,1,1,39.7,Experimental Barn
161,Bovine,1/12/2020,5,1,1,1a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
164,Caprine,1/12/2020,5,1,0,1b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
171,Caprine,1/12/2020,5,1,0,1b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
182,Caprine,1/12/2020,5,1,0,1b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
180,Caprine,1/12/2020,5,1,0,1b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
152,Bovine,1/12/2020,5,4,1,4a,0,0,0,0,0,0,0,0,39.3,Experimental Barn
155,Bovine,1/12/2020,5,4,1,4a,0,1,0,0,0,0,1,1,39.8,Experimental Barn
158,Bovine,1/12/2020,5,4,1,4a,0,0,0,0,0,0,0,0,39.1,Experimental Barn
159,Bovine,1/12/2020,5,4,1,4a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
165,Caprine,1/12/2020,5,4,0,4b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
166,Caprine,1/12/2020,5,4,0,4b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
176,Caprine,1/12/2020,5,4,0,4b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
181,Caprine,1/12/2020,5,4,0,4b,0,0,0,0,0,0,0,0,38.2,Experimental Barn
113,Bovine,1/12/2020,5,6,1,6a,0,0,0,0,0,0,0,0,38.2,Experimental Barn
149,Bovine,1/12/2020,5,6,1,6a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
156,Bovine,1/12/2020,5,6,1,6a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
153,Bovine,1/12/2020,5,6,1,6a,0,0,0,0,0,0,0,0,39.4,Experimental Barn
162,Caprine,1/12/2020,5,6,0,6b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
169,Caprine,1/12/2020,5,6,0,6b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
173,Caprine,1/12/2020,5,6,0,6b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
185,Caprine,1/12/2020,5,6,0,6b,0,0,0,0,0,0,0,0,39,Experimental Barn
172,Caprine,1/12/2020,5,5,1,5a,1,1,0,0,0,1,3,3,39.7,Positive Control
174,Caprine,1/12/2020,5,5,0,5b,1,1,0,0,1,0,3,3,39.6,Positive Control
175,Caprine,1/12/2020,5,5,0,5b,0,0,0,0,0,0,0,0,38.8,Positive Control
179,Caprine,1/12/2020,5,5,1,5a,0,0,0,0,0,0,0,0,38.8,Positive Control
167,Caprine,1/12/2020,5,3,0,3a,0,0,0,0,0,0,0,0,38.9,Negative Control
183,Caprine,1/12/2020,5,3,0,3a,0,0,0,0,0,0,0,0,39.1,Negative Control
99,Bovine,2/12/2020,6,1,1,1a,0,0,0,0,0,0,0,0,39.1,Experimental Barn
110,Bovine,2/12/2020,6,1,1,1a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
151,Bovine,2/12/2020,6,1,1,1a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
161,Bovine,2/12/2020,6,1,1,1a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
164,Caprine,2/12/2020,6,1,0,1b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
171,Caprine,2/12/2020,6,1,0,1b,0,0,0,0,0,0,0,0,38.4,Experimental Barn
182,Caprine,2/12/2020,6,1,0,1b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
180,Caprine,2/12/2020,6,1,0,1b,0,0,0,0,0,0,0,0,38.3,Experimental Barn
152,Bovine,2/12/2020,6,4,1,4a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
155,Bovine,2/12/2020,6,4,1,4a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
158,Bovine,2/12/2020,6,4,1,4a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
159,Bovine,2/12/2020,6,4,1,4a,1,0,0,0,1,0,2,2,38.3,Experimental Barn
165,Caprine,2/12/2020,6,4,0,4b,0,0,0,0,0,0,0,0,38.5,Experimental Barn
166,Caprine,2/12/2020,6,4,0,4b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
176,Caprine,2/12/2020,6,4,0,4b,0,0,0,0,0,0,0,0,38.3,Experimental Barn
181,Caprine,2/12/2020,6,4,0,4b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
113,Bovine,2/12/2020,6,6,1,6a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
149,Bovine,2/12/2020,6,6,1,6a,0,0,0,0,0,0,0,0,39,Experimental Barn
156,Bovine,2/12/2020,6,6,1,6a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
153,Bovine,2/12/2020,6,6,1,6a,0,0,0,0,0,0,0,0,39,Experimental Barn
162,Caprine,2/12/2020,6,6,0,6b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
169,Caprine,2/12/2020,6,6,0,6b,0,1,0,0,0,0,1,1,39.9,Experimental Barn
173,Caprine,2/12/2020,6,6,0,6b,0,0,0,0,0,0,0,0,38.5,Experimental Barn
185,Caprine,2/12/2020,6,6,0,6b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
172,Caprine,2/12/2020,6,5,1,5a,2,0,1,1,1,0,5,5,38.9,Positive Control
174,Caprine,2/12/2020,6,5,0,5b,1,0,0,0,1,0,2,2,39,Positive Control
175,Caprine,2/12/2020,6,5,0,5b,0,0,0,0,0,0,0,0,39.2,Positive Control
179,Caprine,2/12/2020,6,5,1,5a,0,0,0,0,0,0,0,0,39.2,Positive Control
167,Caprine,2/12/2020,6,3,0,3a,0,0,0,0,0,0,0,0,38.8,Negative Control
183,Caprine,2/12/2020,6,3,0,3a,0,0,0,0,0,0,0,0,38.9,Negative Control
99,Bovine,3/12/2020,7,1,1,1a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
110,Bovine,3/12/2020,7,1,1,1a,0,0,0,0,0,0,0,0,38,Experimental Barn
151,Bovine,3/12/2020,7,1,1,1a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
161,Bovine,3/12/2020,7,1,1,1a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
164,Caprine,3/12/2020,7,1,0,1b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
171,Caprine,3/12/2020,7,1,0,1b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
182,Caprine,3/12/2020,7,1,0,1b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
