eartag,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc
16,8/2/2020,21,3,1,3a,0,0,0,0,0,1,1,1,38.8
35,8/2/2020,21,3,1,3a,0,1,0,0,0,0,1,1,39.7
51,8/2/2020,21,3,1,3a,0,0,0,0,0,0,0,0,39.1
26,8/2/2020,21,5,1,5a,0,0,0,0,0,0,0,0,39.3
28,8/2/2020,21,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,8/2/2020,21,5,1,5a,1,0,0,0,0,1,2,2,38.7
827,8/2/2020,21,5,1,5a,0,0,0,0,0,0,0,0,38.7
11,9/2/2020,22,1,0,1b,0,0,0,0,0,0,0,0,38.4
13,9/2/2020,22,1,0,1b,0,0,0,0,0,0,0,0,39.4
14,9/2/2020,22,1,0,1b,0,0,0,0,0,0,0,0,38.8
58,9/2/2020,22,1,0,1b,0,0,0,0,0,0,0,0,38.5
64,9/2/2020,22,1,0,1b,0,0,0,0,0,0,0,0,39.5
808,9/2/2020,22,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,9/2/2020,22,3,1,3a,0,0,0,1,0,0,1,1,39.3
16,9/2/2020,22,3,1,3a,0,0,0,0,0,0,0,0,39.2
35,9/2/2020,22,3,1,3a,0,0,0,1,0,0,1,1,39.3
51,9/2/2020,22,3,1,3a,0,0,0,1,0,0,1,1,38.6
26,9/2/2020,22,5,1,5a,0,0,0,0,0,0,0,0,39.2
28,9/2/2020,22,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,9/2/2020,22,5,1,5a,0,0,0,0,0,1,1,1,38.3
827,9/2/2020,22,5,1,5a,0,0,0,0,0,0,0,0,38.8
11,10/2/2020,23,1,0,1b,0,0,0,0,0,0,0,0,38.7
13,10/2/2020,23,1,0,1b,0,0,0,0,0,0,0,0,39.1
14,10/2/2020,23,1,0,1b,0,0,0,0,0,0,0,0,39.3
58,10/2/2020,23,1,0,1b,0,0,0,0,0,0,0,0,39.2
64,10/2/2020,23,1,0,1b,0,1,0,0,0,0,1,1,39.8
808,10/2/2020,23,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,10/2/2020,23,3,1,3a,0,0,0,0,0,0,0,0,39.3
16,10/2/2020,23,3,1,3a,0,0,0,0,0,1,1,1,38.8
35,10/2/2020,23,3,1,3a,0,0,0,0,0,0,0,0,39.4
51,10/2/2020,23,3,1,3a,0,0,0,1,0,0,1,1,39.1
26,10/2/2020,23,5,1,5a,0,0,0,0,0,0,0,0,38.6
28,10/2/2020,23,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,10/2/2020,23,5,1,5a,1,0,0,1,0,0,2,2,38.1
827,10/2/2020,23,5,1,5a,0,0,0,0,0,0,0,0,38.9
11,11/2/2020,24,1,0,1b,0,0,0,0,0,0,0,0,38.7
13,11/2/2020,24,1,0,1b,0,1,0,0,0,0,1,1,39.7
14,11/2/2020,24,1,0,1b,0,0,0,0,0,0,0,0,39.2
58,11/2/2020,24,1,0,1b,0,0,0,0,0,0,0,0,39
64,11/2/2020,24,1,0,1b,0,0,0,0,0,0,0,0,39.4
808,11/2/2020,24,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,11/2/2020,24,3,1,3a,0,1,0,0,0,0,1,1,39.6
16,11/2/2020,24,3,1,3a,0,0,0,0,0,0,0,0,39
35,11/2/2020,24,3,1,3a,0,0,0,0,0,0,0,0,39.5
51,11/2/2020,24,3,1,3a,0,0,0,1,0,0,1,1,39
26,11/2/2020,24,5,1,5a,0,0,0,0,0,0,0,0,39
28,11/2/2020,24,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,11/2/2020,24,5,1,5a,0,0,0,1,0,0,1,1,38.3
827,11/2/2020,24,5,1,5a,0,0,0,1,0,0,1,1,38.7
11,12/2/2020,25,1,0,1b,0,0,0,0,0,0,0,0,39.2
13,12/2/2020,25,1,0,1b,0,0,0,0,0,0,0,0,39.3
14,12/2/2020,25,1,0,1b,0,0,0,0,0,0,0,0,39.2
58,12/2/2020,25,1,0,1b,0,0,0,0,0,0,0,0,39.4
64,12/2/2020,25,1,0,1b,0,1,0,0,0,0,1,1,39.9
808,12/2/2020,25,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,12/2/2020,25,3,1,3a,0,0,0,0,0,0,0,0,39.3
16,12/2/2020,25,3,1,3a,0,0,0,0,0,0,0,0,39.3
35,12/2/2020,25,3,1,3a,0,0,0,0,0,0,0,0,39.4
51,12/2/2020,25,3,1,3a,0,0,0,0,0,0,0,0,39.1
26,12/2/2020,25,5,1,5a,0,0,0,0,0,0,0,0,39.2
28,12/2/2020,25,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,12/2/2020,25,5,1,5a,0,0,0,1,0,0,1,1,38.3
827,12/2/2020,25,5,1,5a,0,0,0,1,0,0,1,1,38.9
11,13/2/2020,26,1,0,1b,0,0,0,0,0,0,0,0,38.4
13,13/2/2020,26,1,0,1b,0,0,0,0,0,0,0,0,39
14,13/2/2020,26,1,0,1b,0,0,0,0,0,0,0,0,38.6
58,13/2/2020,26,1,0,1b,0,0,0,0,0,0,0,0,38.2
64,13/2/2020,26,1,0,1b,0,0,0,0,0,0,0,0,39.4
808,13/2/2020,26,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,13/2/2020,26,3,1,3a,0,0,0,0,0,0,0,0,39.5
16,13/2/2020,26,3,1,3a,0,0,0,0,0,0,0,0,39.1
35,13/2/2020,26,3,1,3a,0,0,0,0,0,0,0,0,39.3
51,13/2/2020,26,3,1,3a,0,0,0,1,0,0,1,1,38.5
26,13/2/2020,26,5,1,5a,0,0,0,0,0,0,0,0,39.1
28,13/2/2020,26,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,13/2/2020,26,5,1,5a,0,0,0,1,0,0,1,1,37.7
827,13/2/2020,26,5,1,5a,0,0,0,1,0,0,1,1,38.4
11,14/2/2020,27,1,0,1b,0,0,0,0,0,0,0,0,38.6
13,14/2/2020,27,1,0,1b,0,0,0,0,0,0,0,0,39.1
14,14/2/2020,27,1,0,1b,0,0,0,0,0,0,0,0,38.7
58,14/2/2020,27,1,0,1b,0,0,0,0,0,0,0,0,39
64,14/2/2020,27,1,0,1b,0,0,0,0,0,0,0,0,39.4
808,14/2/2020,27,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,14/2/2020,27,3,1,3a,0,0,0,0,0,0,0,0,39.5
16,14/2/2020,27,3,1,3a,0,0,0,0,0,0,0,0,39.2
35,14/2/2020,27,3,1,3a,0,0,0,0,0,0,0,0,39.3
51,14/2/2020,27,3,1,3a,0,0,0,0,0,0,0,0,39.5
26,14/2/2020,27,5,1,5a,0,0,0,0,0,0,0,0,39.2
28,14/2/2020,27,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,14/2/2020,27,5,1,5a,0,0,0,1,0,0,1,1,38.1
827,14/2/2020,27,5,1,5a,0,0,0,0,0,0,0,0,38.1
11,15/2/2020,28,1,0,1b,0,0,0,0,0,0,0,0,39.1
13,15/2/2020,28,1,0,1b,0,0,0,0,0,0,0,0,39.2
14,15/2/2020,28,1,0,1b,0,0,0,0,0,0,0,0,39.1
58,15/2/2020,28,1,0,1b,0,0,0,0,0,0,0,0,39.2
64,15/2/2020,28,1,0,1b,0,1,0,0,0,0,1,1,39.9
808,15/2/2020,28,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,15/2/2020,28,3,1,3a,0,0,0,0,0,0,0,0,39.4
16,15/2/2020,28,3,1,3a,0,0,0,0,0,0,0,0,38.8
35,15/2/2020,28,3,1,3a,0,0,0,0,0,0,0,0,39.3
51,15/2/2020,28,3,1,3a,0,0,0,0,0,0,0,0,39
26,15/2/2020,28,5,1,5a,0,0,0,0,0,0,0,0,39
28,15/2/2020,28,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,15/2/2020,28,5,1,5a,0,0,0,0,0,0,0,0,37.9
827,15/2/2020,28,5,1,5a,0,0,0,0,0,0,0,0,38.7
