eartag,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc
28,19/01/2020,1,5,1,5a,0,0,0,0,0,0,0,0,38.8
57,19/01/2020,1,5,1,5a,0,0,0,0,0,0,0,0,39.4
827,19/01/2020,1,5,1,5a,0,0,0,0,0,0,0,0,38.6
11,20/01/2020,2,1,0,1b,0,0,0,0,0,0,0,0,39.2
13,20/01/2020,2,1,0,1b,0,0,0,0,0,0,0,0,39.4
14,20/01/2020,2,1,0,1b,0,0,0,0,0,0,0,0,39.3
58,20/01/2020,2,1,0,1b,0,0,0,0,0,0,0,0,39.1
64,20/01/2020,2,1,0,1b,0,0,0,0,0,0,0,0,40.2
808,20/01/2020,2,1,0,1b,0,0,0,0,0,0,0,0,37.1
6,20/01/2020,2,3,1,3a,0,0,0,1,0,0,1,1,39.5
16,20/01/2020,2,3,1,3a,0,0,0,0,0,0,0,0,39.5
35,20/01/2020,2,3,1,3a,0,1,0,0,0,0,1,1,39.6
51,20/01/2020,2,3,1,3a,0,0,0,1,0,0,1,1,39.2
26,20/01/2020,2,5,1,5a,0,0,0,0,0,0,0,0,38.1
28,20/01/2020,2,5,1,5a,0,0,0,0,0,0,0,0,38.2
57,20/01/2020,2,5,1,5a,0,0,0,0,0,0,0,0,38.3
827,20/01/2020,2,5,1,5a,0,0,0,1,M,0,1,1,38.6
11,21/01/2020,3,1,0,1b,0,0,0,0,0,0,0,0,38.8
13,21/01/2020,3,1,0,1b,0,1,0,0,0,0,1,1,40.1
14,21/01/2020,3,1,0,1b,0,1,0,0,0,0,1,1,39.6
58,21/01/2020,3,1,0,1b,0,0,0,0,0,0,0,0,39.2
64,21/01/2020,3,1,0,1b,0,1,0,0,0,0,1,1,39.8
808,21/01/2020,3,1,0,1b,0,0,0,0,0,0,0,0,37.8
6,21/01/2020,3,3,1,3a,0,0,0,0,0,0,0,0,39
16,21/01/2020,3,3,1,3a,0,1,0,0,0,0,1,1,39.9
35,21/01/2020,3,3,1,3a,0,1,0,0,0,0,1,1,39.9
51,21/01/2020,3,3,1,3a,0,0,0,1,0,0,1,1,39.3
26,21/01/2020,3,5,1,5a,0,0,0,0,0,0,0,0,38.8
28,21/01/2020,3,5,1,5a,0,0,0,0,0,0,0,0,39.2
57,21/01/2020,3,5,1,5a,0,0,0,0,0,0,0,0,39.2
827,21/01/2020,3,5,1,5a,0,0,0,0,0,0,0,0,38.9
11,22/01/2020,4,1,0,1b,0,0,0,0,0,0,0,0,39.3
13,22/01/2020,4,1,0,1b,0,2,0,0,0,0,2,2,40.8
14,22/01/2020,4,1,0,1b,0,1,0,0,0,0,1,1,39.8
58,22/01/2020,4,1,0,1b,0,0,0,0,0,0,0,0,39.4
64,22/01/2020,4,1,0,1b,0,0,0,0,0,0,0,0,40.2
808,22/01/2020,4,1,0,1b,0,0,0,0,0,0,0,0,36.5
6,22/01/2020,4,3,1,3a,0,2,0,0,0,0,2,2,40
16,22/01/2020,4,3,1,3a,0,2,0,0,0,0,2,2,41
35,22/01/2020,4,3,1,3a,0,2,0,0,0,0,2,2,40.9
51,22/01/2020,4,3,1,3a,0,1,0,0,0,0,1,1,39.9
26,22/01/2020,4,5,1,5a,0,0,0,0,0,0,0,0,39.5
28,22/01/2020,4,5,1,5a,1,2,0,0,0,0,3,3,40.6
57,22/01/2020,4,5,1,5a,0,2,0,0,0,0,2,2,40.1
827,22/01/2020,4,5,1,5a,0,1,0,0,0,0,1,1,39.6
11,23/01/2020,5,1,0,1b,0,0,0,0,0,0,0,0,39.5
13,23/01/2020,5,1,0,1b,0,0,0,0,0,0,0,0,39.1
