eartag,species,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc,expt
253,Caprine,28/2/21,1,5,0,5b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
256,Bovine,28/2/21,1,6,1,6a,0,0,0,0,0,0,0,0,38.4,Experimental Barn
261,Bovine,28/2/21,1,6,1,6a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
268,Bovine,28/2/21,1,6,1,6a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
272,Bovine,28/2/21,1,6,1,6a,0,0,0,0,0,0,0,0,38,Experimental Barn
231,Caprine,28/2/21,1,6,0,6b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
240,Caprine,28/2/21,1,6,0,6b,0,0,0,0,0,0,0,0,39,Experimental Barn
244,Caprine,28/2/21,1,6,0,6b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
250,Caprine,28/2/21,1,6,0,6b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
260,Bovine,1/3/2021,2,1,1,1a,0,0,0,0,0,0,0,0,38.4,Experimental Barn
266,Bovine,1/3/2021,2,1,1,1a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
274,Bovine,1/3/2021,2,1,1,1a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
275,Bovine,1/3/2021,2,1,1,1a,0,0,0,0,0,0,0,0,38.2,Experimental Barn
239,Caprine,1/3/2021,2,1,0,1b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
241,Caprine,1/3/2021,2,1,0,1b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
246,Caprine,1/3/2021,2,1,0,1b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
255,Caprine,1/3/2021,2,1,0,1b,0,0,0,0,0,0,0,0,38.5,Experimental Barn
259,Bovine,1/3/2021,2,2,1,2a,0,0,0,0,0,0,0,0,38.3,Experimental Barn
262,Bovine,1/3/2021,2,2,1,2a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
263,Bovine,1/3/2021,2,2,1,2a,0,0,0,0,0,0,0,0,38.3,Experimental Barn
271,Bovine,1/3/2021,2,2,1,2a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
234,Caprine,1/3/2021,2,2,0,2b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
235,Caprine,1/3/2021,2,2,0,2b,0,0,0,0,0,0,0,0,38.5,Experimental Barn
252,Caprine,1/3/2021,2,2,0,2b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
254,Caprine,1/3/2021,2,2,0,2b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
233,Caprine,1/3/2021,2,3,1,3a,0,0,0,0,0,0,0,0,39.1,Postive Control
247,Caprine,1/3/2021,2,3,1,3a,0,2,0,1,0,0,3,3,40.1,Postive Control
236,Caprine,1/3/2021,2,4,0,4b,0,0,0,0,0,0,0,0,38.4,Negative Control
243,Caprine,1/3/2021,2,4,0,4b,0,0,0,0,0,0,0,0,38.6,Negative Control
258,Bovine,1/3/2021,2,5,1,5a,0,0,0,0,0,0,0,0,38,Experimental Barn
265,Bovine,1/3/2021,2,5,1,5a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
269,Bovine,1/3/2021,2,5,1,5a,0,0,0,0,0,0,0,0,38.3,Experimental Barn
273,Bovine,1/3/2021,2,5,1,5a,0,0,0,1,0,0,1,1,38,Experimental Barn
232,Caprine,1/3/2021,2,5,0,5b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
245,Caprine,1/3/2021,2,5,0,5b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
248,Caprine,1/3/2021,2,5,0,5b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
253,Caprine,1/3/2021,2,5,0,5b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
256,Bovine,1/3/2021,2,6,1,6a,0,0,0,0,0,0,0,0,38,Experimental Barn
261,Bovine,1/3/2021,2,6,1,6a,0,0,0,0,0,0,0,0,38.2,Experimental Barn
268,Bovine,1/3/2021,2,6,1,6a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
272,Bovine,1/3/2021,2,6,1,6a,0,0,0,0,0,0,0,0,38.1,Experimental Barn
231,Caprine,1/3/2021,2,6,0,6b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
240,Caprine,1/3/2021,2,6,0,6b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
244,Caprine,1/3/2021,2,6,0,6b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
250,Caprine,1/3/2021,2,6,0,6b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
260,Bovine,2/3/2021,3,1,1,1a,0,0,0,0,0,0,0,0,38,Experimental Barn
266,Bovine,2/3/2021,3,1,1,1a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
274,Bovine,2/3/2021,3,1,1,1a,0,0,0,0,0,0,0,0,38.2,Experimental Barn
275,Bovine,2/3/2021,3,1,1,1a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
239,Caprine,2/3/2021,3,1,0,1b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
241,Caprine,2/3/2021,3,1,0,1b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
246,Caprine,2/3/2021,3,1,0,1b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
255,Caprine,2/3/2021,3,1,0,1b,0,0,0,0,0,0,0,0,38.2,Experimental Barn
259,Bovine,2/3/2021,3,2,1,2a,0,0,0,0,0,0,0,0,38.3,Experimental Barn
262,Bovine,2/3/2021,3,2,1,2a,0,0,0,0,0,0,0,0,38.4,Experimental Barn
263,Bovine,2/3/2021,3,2,1,2a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
271,Bovine,2/3/2021,3,2,1,2a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
234,Caprine,2/3/2021,3,2,0,2b,0,0,0,0,0,0,0,0,38,Experimental Barn
235,Caprine,2/3/2021,3,2,0,2b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
252,Caprine,2/3/2021,3,2,0,2b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
254,Caprine,2/3/2021,3,2,0,2b,0,0,0,0,0,0,0,0,38.5,Experimental Barn
233,Caprine,2/3/2021,3,3,1,3a,0,0,0,0,0,0,0,0,39.4,Postive Control
247,Caprine,2/3/2021,3,3,1,3a,0,2,0,1,0,0,3,3,40.2,Postive Control
236,Caprine,2/3/2021,3,4,0,4b,0,0,0,0,0,0,0,0,38.5,Negative Control
243,Caprine,2/3/2021,3,4,0,4b,0,0,0,0,0,0,0,0,38.8,Negative Control
258,Bovine,2/3/2021,3,5,1,5a,0,0,0,0,0,0,0,0,38,Experimental Barn
265,Bovine,2/3/2021,3,5,1,5a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
269,Bovine,2/3/2021,3,5,1,5a,0,0,0,0,0,0,0,0,38,Experimental Barn
273,Bovine,2/3/2021,3,5,1,5a,0,0,0,0,0,0,0,0,38.2,Experimental Barn
232,Caprine,2/3/2021,3,5,0,5b,0,0,0,0,0,0,0,0,39,Experimental Barn
245,Caprine,2/3/2021,3,5,0,5b,0,0,0,0,0,0,0,0,38.2,Experimental Barn
248,Caprine,2/3/2021,3,5,0,5b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
253,Caprine,2/3/2021,3,5,0,5b,0,0,0,0,0,0,0,0,38.1,Experimental Barn
256,Bovine,2/3/2021,3,6,1,6a,0,0,0,0,0,0,0,0,38.3,Experimental Barn
261,Bovine,2/3/2021,3,6,1,6a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
268,Bovine,2/3/2021,3,6,1,6a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
272,Bovine,2/3/2021,3,6,1,6a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
231,Caprine,2/3/2021,3,6,0,6b,0,0,0,0,0,0,0,0,39,Experimental Barn
240,Caprine,2/3/2021,3,6,0,6b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
244,Caprine,2/3/2021,3,6,0,6b,0,0,0,0,0,0,0,0,38.4,Experimental Barn
250,Caprine,2/3/2021,3,6,0,6b,0,0,0,0,0,0,0,0,38.3,Experimental Barn
260,Bovine,3/3/2021,4,1,1,1a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
266,Bovine,3/3/2021,4,1,1,1a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
274,Bovine,3/3/2021,4,1,1,1a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
275,Bovine,3/3/2021,4,1,1,1a,0,0,0,0,0,0,0,0,39.3,Experimental Barn
239,Caprine,3/3/2021,4,1,0,1b,0,1,0,0,0,0,1,1,39.5,Experimental Barn
241,Caprine,3/3/2021,4,1,0,1b,0,1,0,0,0,0,1,1,39.5,Experimental Barn
246,Caprine,3/3/2021,4,1,0,1b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
255,Caprine,3/3/2021,4,1,0,1b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
259,Bovine,3/3/2021,4,2,1,2a,0,0,0,0,0,0,0,0,39.2,Experimental Barn
262,Bovine,3/3/2021,4,2,1,2a,0,0,0,0,0,0,0,0,38.2,Experimental Barn
263,Bovine,3/3/2021,4,2,1,2a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
271,Bovine,3/3/2021,4,2,1,2a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
234,Caprine,3/3/2021,4,2,0,2b,0,2,0,0,0,0,2,2,40.1,Experimental Barn
235,Caprine,3/3/2021,4,2,0,2b,0,0,0,0,0,0,0,0,38.9,Experimental Barn
252,Caprine,3/3/2021,4,2,0,2b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
254,Caprine,3/3/2021,4,2,0,2b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
233,Caprine,3/3/2021,4,3,1,3a,0,0,0,0,0,0,2,0,40.2,Postive Control
247,Caprine,3/3/2021,4,3,1,3a,0,2,0,1,1,1,5,5,40.9,Postive Control
236,Caprine,3/3/2021,4,4,0,4b,0,0,0,0,0,0,0,0,39.3,Negative Control
243,Caprine,3/3/2021,4,4,0,4b,0,0,0,0,0,0,0,0,38.8,Negative Control
258,Bovine,3/3/2021,4,5,1,5a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
265,Bovine,3/3/2021,4,5,1,5a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
269,Bovine,3/3/2021,4,5,1,5a,0,0,0,0,0,0,0,0,39,Experimental Barn
273,Bovine,3/3/2021,4,5,1,5a,0,0,0,1,0,0,1,1,38.8,Experimental Barn
232,Caprine,3/3/2021,4,5,0,5b,0,0,0,0,0,0,0,0,39.1,Experimental Barn
245,Caprine,3/3/2021,4,5,0,5b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
248,Caprine,3/3/2021,4,5,0,5b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
253,Caprine,3/3/2021,4,5,0,5b,0,0,0,0,0,0,0,0,39.4,Experimental Barn
256,Bovine,3/3/2021,4,6,1,6a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
261,Bovine,3/3/2021,4,6,1,6a,0,0,0,0,0,0,0,0,38.4,Experimental Barn
268,Bovine,3/3/2021,4,6,1,6a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
272,Bovine,3/3/2021,4,6,1,6a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
231,Caprine,3/3/2021,4,6,0,6b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
240,Caprine,3/3/2021,4,6,0,6b,0,1,0,0,0,0,1,1,39.8,Experimental Barn
244,Caprine,3/3/2021,4,6,0,6b,0,2,0,1,0,0,3,3,40.2,Experimental Barn
250,Caprine,3/3/2021,4,6,0,6b,0,0,0,0,0,0,0,0,39.2,Experimental Barn
260,Bovine,4/3/2021,5,1,1,1a,0,0,0,0,0,0,0,0,38.4,Experimental Barn
266,Bovine,4/3/2021,5,1,1,1a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
274,Bovine,4/3/2021,5,1,1,1a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
275,Bovine,4/3/2021,5,1,1,1a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
239,Caprine,4/3/2021,5,1,0,1b,0,0,0,0,0,0,0,0,38.9,Experimental Barn
241,Caprine,4/3/2021,5,1,0,1b,0,0,0,0,0,0,0,0,39.3,Experimental Barn
246,Caprine,4/3/2021,5,1,0,1b,0,0,0,0,0,0,0,0,38.4,Experimental Barn
255,Caprine,4/3/2021,5,1,0,1b,0,0,0,0,0,0,0,0,38.8,Experimental Barn
259,Bovine,4/3/2021,5,2,1,2a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
262,Bovine,4/3/2021,5,2,1,2a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
263,Bovine,4/3/2021,5,2,1,2a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
271,Bovine,4/3/2021,5,2,1,2a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
234,Caprine,4/3/2021,5,2,0,2b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
235,Caprine,4/3/2021,5,2,0,2b,0,0,0,0,0,0,0,0,38.4,Experimental Barn
252,Caprine,4/3/2021,5,2,0,2b,0,0,0,0,0,0,0,0,38.9,Experimental Barn
254,Caprine,4/3/2021,5,2,0,2b,0,0,0,1,0,0,1,1,38.7,Experimental Barn
233,Caprine,4/3/2021,5,3,1,3a,1,1,0,1,0,1,4,8,40,Postive Control
247,Caprine,4/3/2021,5,3,1,3a,1,2,0,1,1,1,6,12,40.4,Postive Control
236,Caprine,4/3/2021,5,4,0,4b,0,0,0,0,0,0,0,0,38.9,Negative Control
243,Caprine,4/3/2021,5,4,0,4b,0,0,0,0,0,0,0,0,38.7,Negative Control
258,Bovine,4/3/2021,5,5,1,5a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
