eartag,species,date,dpi,barn,innoc,barni,od1,od2,delete,od_avg,sn,status,expt
99,Bovine,26/11/2020,0,1,1,1a,1.24,1.23,,1.23,93.38,Neg,Experimental Barn
110,Bovine,26/11/2020,0,1,1,1a,1.19,1.15,,1.17,88.35,Neg,Experimental Barn
151,Bovine,26/11/2020,0,1,1,1a,1.24,1.17,,1.21,91.18,Neg,Experimental Barn
161,Bovine,26/11/2020,0,1,1,1a,0.97,0.95,,0.96,72.49,Neg,Experimental Barn
164,Caprine,26/11/2020,0,1,0,1b,1.03,1,,1.02,76.81,Neg,Experimental Barn
171,Caprine,26/11/2020,0,1,0,1b,1.13,1.15,,1.14,86.45,Neg,Experimental Barn
182,Caprine,26/11/2020,0,1,0,1b,1.07,1.1,,1.09,82.22,Neg,Experimental Barn
180,Caprine,26/11/2020,0,1,0,1b,1.09,1.08,,1.08,81.91,Neg,Experimental Barn
152,Bovine,26/11/2020,0,4,1,4a,0.98,0.98,,0.98,73.93,Neg,Experimental Barn
155,Bovine,26/11/2020,0,4,1,4a,0.87,0.92,,0.9,67.76,Neg,Experimental Barn
158,Bovine,26/11/2020,0,4,1,4a,1.21,1.21,,1.21,91.49,Neg,Experimental Barn
159,Bovine,26/11/2020,0,4,1,4a,1.02,1.04,,1.03,77.87,Neg,Experimental Barn
165,Caprine,26/11/2020,0,4,0,4b,1.02,1.02,,1.02,77.34,Neg,Experimental Barn
166,Caprine,26/11/2020,0,4,0,4b,1.1,1.16,,1.13,85.43,Neg,Experimental Barn
176,Caprine,26/11/2020,0,4,0,4b,1.13,1.16,,1.15,86.68,Neg,Experimental Barn
181,Caprine,26/11/2020,0,4,0,4b,1.02,1,,1.01,76.39,Neg,Experimental Barn
113,Bovine,26/11/2020,0,6,1,6a,0.97,0.98,,0.97,73.59,Neg,Experimental Barn
149,Bovine,26/11/2020,0,6,1,6a,1.17,1.18,,1.17,88.54,Neg,Experimental Barn
156,Bovine,26/11/2020,0,6,1,6a,0.99,0.97,,0.98,74.08,Neg,Experimental Barn
153,Bovine,26/11/2020,0,6,1,6a,1.07,1.09,,1.08,81.61,Neg,Experimental Barn
162,Caprine,26/11/2020,0,6,0,6b,0.85,0.83,,0.84,63.45,Neg,Experimental Barn
169,Caprine,26/11/2020,0,6,0,6b,1.12,1.13,,1.13,85.17,Neg,Experimental Barn
173,Caprine,26/11/2020,0,6,0,6b,1.16,1.16,,1.16,88.01,Neg,Experimental Barn
185,Caprine,26/11/2020,0,6,0,6b,1.19,1.21,,1.2,90.84,Neg,Experimental Barn
172,Caprine,26/11/2020,0,5,1,5a,1.01,1.05,,1.03,77.9,Neg,Positive Control
174,Caprine,26/11/2020,0,5,0,5b,0.9,1,,0.95,71.85,Neg,Positive Control
