eartag,species,date,dpi,barn,innoc,barni,od1,od2,delete,od_avg,sn,status,expt
103,Bovine,22/8/2020,0,3,1,3a,1.223,1.179,N,1.201,90.06374203,Neg,A
106,Bovine,22/8/2020,0,3,1,3a,1.035,1.027,N,1.031,77.31533558,Neg,A
107,Bovine,22/8/2020,0,3,1,3a,1.019,0.992,N,1.0055,75.40307462,Neg,A
109,Bovine,22/8/2020,0,3,1,3a,1.124,1.102,N,1.113,83.46456693,Neg,A
122,Caprine,22/8/2020,0,3,0,3b,1.036,1.057,N,1.0465,78.47769029,Neg,A
135,Caprine,22/8/2020,0,3,0,3b,1.103,1.123,N,1.113,83.46456693,Neg,A
145,Caprine,22/8/2020,0,3,0,3b,0.915,0.921,P,0.918,68.84139483,Neg,A
148,Caprine,22/8/2020,0,3,0,3b,1.211,1.233,N,1.222,91.63854518,Neg,A
100,Bovine,22/8/2020,0,4,0,4c,1.077,1.08,N,1.0785,80.87739033,Neg,C
112,Bovine,22/8/2020,0,4,0,4c,0.986,0.94,P,0.963,72.215973,Neg,C
130,Caprine,22/8/2020,0,4,1,4a,1.224,1.203,N,1.2135,91.00112486,Neg,C
138,Caprine,22/8/2020,0,4,1,4a,1.214,1.182,N,1.198,89.83877015,Neg,C
143,Caprine,22/8/2020,0,4,1,4a,1.19,1.196,N,1.193,89.46381702,Neg,C
146,Caprine,22/8/2020,0,4,1,4a,1.24,1.234,N,1.237,92.76340457,Neg,C
129,Caprine,22/8/2020,0,4,0,4b,1.201,1.201,N,1.201,90.06374203,Neg,C
136,Caprine,22/8/2020,0,4,0,4b,1.225,1.248,N,1.2365,92.72590926,Neg,C
121,Caprine,22/8/2020,0,5,1,5a,0.859,0.836,P,0.8475,63.55455568,Neg,B
128,Caprine,22/8/2020,0,5,1,5a,1.012,1.045,N,1.0285,77.12785902,Neg,B
133,Caprine,22/8/2020,0,5,1,5a,1.025,1.063,N,1.044,78.29021372,Neg,B
139,Caprine,22/8/2020,0,5,1,5a,1.167,1.197,N,1.182,88.63892013,Neg,B
134,Caprine,22/8/2020,0,5,0,5b,1.013,1.025,N,1.019,76.41544807,Neg,B
142,Caprine,22/8/2020,0,5,0,5b,1.191,1.23,N,1.2105,90.77615298,Neg,B
144,Caprine,22/8/2020,0,5,0,5b,1.113,1.135,N,1.124,84.28946382,Neg,B
