eartag,type,species,sex,dpi,barn,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r,isolation2_dmem,i2o,i2n,i2r
26,E,G,F,14,5,U,37.08,U,U,37.1101,32.4198,31.9535,32.0239,37.08,#DIV/0!,34.76495,31.9887,needed o,0,0,,0,,,,
28,E,G,M,14,5,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
57,E,G,M,14,5,22.1181,22.1473,32.7863,30.444,26.1364,26.1052,29.5742,30.0043,22.1327,31.61515,26.1208,29.78925,,0,0,0,0,0,0,0,0
827,E,G,M,14,5,33.8564,33.6303,U,39.7165,U,35.0381,32.9103,33.5058,33.74335,39.7165,35.0381,33.20805,needed n r,0,0,0,0,,,,
11,C,G,F,17,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
13,C,S,M,17,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
14,C,S,M,17,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
58,C,G,M,17,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
64,C,S,F,17,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
808,C,G,M,17,1,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
6,E,S,M,17,3,26.3916,26.5367,28.1684,29.7324,33.4566,31.3309,36.5919,32.5099,26.46415,28.9504,32.39375,34.5509,,0,0,0,0,0,0,0,0
16,E,S,M,17,3,26.5063,26.2988,32.6059,36.3669,24.6991,24.5434,32.2248,33.0338,26.40255,34.4864,24.62125,32.6293,,0,0,0,0,,,,
