eartag,species,date,dpi,barn,innoc,barni,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r
99,Bovine,26/11/2020,0,1,1,1a,NA,NA,NA,,,,not tested to save icELISA money,"innoculation day, morning",Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
110,Bovine,26/11/2020,0,1,1,1a,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
151,Bovine,26/11/2020,0,1,1,1a,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
161,Bovine,26/11/2020,0,1,1,1a,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
164,Caprine,26/11/2020,0,1,0,1b,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,,,,,,,,,,,,,,,,,
171,Caprine,26/11/2020,0,1,0,1b,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,,,,,,,,,,,,,,,,,
182,Caprine,26/11/2020,0,1,0,1b,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,,,,,,,,,,,,,,,,,
180,Caprine,26/11/2020,0,1,0,1b,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,,,,,,,,,,,,,,,,,
152,Bovine,26/11/2020,0,4,1,4a,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
155,Bovine,26/11/2020,0,4,1,4a,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
158,Bovine,26/11/2020,0,4,1,4a,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
159,Bovine,26/11/2020,0,4,1,4a,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
165,Caprine,26/11/2020,0,4,0,4b,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,,,,,,,,,,,,,,,,,
166,Caprine,26/11/2020,0,4,0,4b,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,,,,,,,,,,,,,,,,,
176,Caprine,26/11/2020,0,4,0,4b,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,,,,,,,,,,,,,,,,,
181,Caprine,26/11/2020,0,4,0,4b,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,,,,,,,,,,,,,,,,,
113,Bovine,26/11/2020,0,6,1,6a,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
149,Bovine,26/11/2020,0,6,1,6a,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
156,Bovine,26/11/2020,0,6,1,6a,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
153,Bovine,26/11/2020,0,6,1,6a,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
162,Caprine,26/11/2020,0,6,0,6b,NA,NA,NA,,,,not tested to save icELISA money,,Experimental Barn,,,,,,,,,,,,,,,,,
