eartag,type,species,sex,dpi,barn,innoc,barni,od,sp,status,note,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,notes,isolation1_dpbs,i1o,i1n,i1r
25,E,G,F,14,4,0,4b,3.62,487.9777623,Pos,,23.8464,23.6742,24.3537,24.2948,29.669,28.8753,28.5892,28.8558,23.7603,24.32425,29.27215,28.7225,,,1,0,1,1
39,E,G,M,14,4,0,4b,0.077,-4.447533009,Neg,,27.1813,26.895,U,33.433,30.0204,29.6877,31.2212,31.4237,27.03815,33.433,29.85405,27.93845,,,0,0,0,0
9,C,G,F,14,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
30,C,G,M,14,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
44,C,G,F,14,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
51,C,S,F,14,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
53,C,S,M,14,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
61,C,S,F,14,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
2,E,S,M,14,6,1,6a,0.185,10.5628909,Neg,,U,28.712,27.6586,27.8691,28.509,28.7183,Undetermined,Undetermined,28.712,27.76385,28.61365,#DIV/0!,,,0,0,0,0
12,E,S,M,14,6,0,6b,3.399,457.2619875,Pos,,25.1184,25.0561,22.371,22.3093,22.9053,23.0134,29.2439,29.2903,25.08725,22.34015,22.95935,29.2671,,,1,0,0,1
17,E,S,M,14,6,0,6b,0.113,0.555941626,Neg,,U,U,U,U,27.2997,27.3268,Undetermined,Undetermined,#DIV/0!,#DIV/0!,27.31325,#DIV/0!,,,0,,,0
32,E,S,M,14,6,0,6b,0.121,1.667824878,Neg,,29.939,29.4766,28.34,28.2491,27.4032,27.0767,28.8741,28.8627,29.7078,28.29455,27.23995,28.8684,,,0,0,0,0
36,E,S,F,14,6,1,6a,0.146,5.142460042,Neg,,25.3561,25.1321,25.3759,25.0427,26.1994,25.9525,44.9727,Undetermined,25.2441,25.2093,26.07595,44.9727,,,0,0,0,0
37,E,S,M,14,6,0,6b,3.618,487.6997915,Pos,,30.8195,30.6401,25.0177,25.0555,28.0595,28.1297,30.3482,30.4458,30.7298,25.0366,28.0946,29.2565,,,1,0,1,0
46,E,S,F,14,6,1,6a,0.307,27.51911049,Pos,,25.0135,24.7293,25.1949,25.2964,27.7042,28.257,Undetermined,Undetermined,24.8714,25.24565,27.9806,#DIV/0!,,,0,0,0,0
47,E,S,M,14,6,1,6a,0.232,17.095205,Neg,,21.4939,21.5267,23.2843,23.1956,38.1677,32.843,30.945,30.7886,21.5103,23.23995,35.50535,30.8668,,,0,0,0,0
1,E,G,F,17,4,1,4a,0.082,3.532934132,Neg,,28.2919,28.2571,30.0199,30.1933,28.3125,27.8385,30.6816,30.6598,28.2745,30.1066,28.0755,30.6707,,,0,0,0,0
8,E,G,F,17,4,1,4a,0.071,2.215568862,Neg,,25.8897,25.8375,28.5328,28.8119,27.9801,27.74,35.9141,37.6246,25.8636,28.67235,27.86005,36.76935,,,0,0,0,0
20,E,G,M,17,4,1,4a,0.216,19.58083832,Neg,,26.1834,26.2352,U,U,26.7531,26.8772,31.0815,30.8866,26.2093,#DIV/0!,26.81515,30.98405,,,0,0,,0
21,E,G,M,17,4,1,4a,NA,NA,NA,died overnight into dpi 17,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,died overnight into dpi 17,,,,
23,E,G,M,17,4,0,4b,1.053,119.8203593,Pos,,25.5695,25.3278,31.2979,31.9053,25.054,25.1538,34.6367,35.7183,25.44865,31.6016,25.1039,35.1775,,,0,0,0,0
24,E,G,F,17,4,0,4b,3.587,423.2934132,Pos,,21.3708,21.5044,U,U,22.1156,22.1938,27.7686,27.7356,21.4376,#DIV/0!,22.1547,27.7521,,,1,1,,1
25,E,G,F,17,4,0,4b,3.853,455.1497006,Pos,,21.256,21.3283,25.0118,24.7213,19.1528,19.7639,27.5729,27.3419,21.29215,24.86655,19.45835,27.4574,,,1,1,1,0
39,E,G,M,17,4,0,4b,3.488,411.4371257,Pos,,20.8053,20.7651,20.5417,20.4923,24.78,24.3963,28.0911,27.7858,20.7852,20.517,24.58815,27.93845,,,1,1,1,0
9,C,G,F,17,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
30,C,G,M,17,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
44,C,G,F,17,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
51,C,S,F,17,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
53,C,S,M,17,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
61,C,S,F,17,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
2,E,S,M,17,6,1,6a,0.096,5.209580838,Neg,,30.9049,30.5347,31.1556,31.1559,28.9802,29.1787,Undetermined,Undetermined,30.7198,31.15575,29.07945,#DIV/0!,,,0,0,0,0
