eartag,species,date,dpi,barn,innoc,barni,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r
252,Caprine,3/3/2021,4,2,0,2b,0.076,-3.467843632,Neg,0.075,-3.59,Neg,,,,,,,,,,,,,,,,,,,,
254,Caprine,3/3/2021,4,2,0,2b,0.069,-4.350567465,Neg,0.088,-1.95,Neg,,,,,,,,,,,,,,,,,,,,
233,Caprine,3/3/2021,4,3,1,3a,2.585,312.925599,Pos,3.828,469.67,Pos,,,,24.0662,24.462,19.895,19.9577,22.4358,22.6234,,,24.2641,19.92635,22.5296,,,,,,
247,Caprine,3/3/2021,4,3,1,3a,1.239,143.1904161,Pos,0.465,45.59,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
236,Caprine,3/3/2021,4,4,0,4b,NA,NA,NA,NA,NA,NA,,,,22.4358,,,,,,,,,,,,,,,,
243,Caprine,3/3/2021,4,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
258,Bovine,3/3/2021,4,5,1,5a,0.074,-3.720050441,Neg,0.884,98.42,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
265,Bovine,3/3/2021,4,5,1,5a,0.071,-4.098360656,Neg,0.209,13.3,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
269,Bovine,3/3/2021,4,5,1,5a,0.074,-3.720050441,Neg,0.439,42.31,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
273,Bovine,3/3/2021,4,5,1,5a,0.263,20.11349306,Pos,0.066,-4.73,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
232,Caprine,3/3/2021,4,5,0,5b,0.082,-2.711223203,Neg,0.061,-5.36,Neg,,,,,,,,,,,,,,,,,,,,
245,Caprine,3/3/2021,4,5,0,5b,0.083,-2.585119798,Neg,0.181,9.77,Neg,,,,,,,,,,,,,,,,,,,,
248,Caprine,3/3/2021,4,5,0,5b,0.086,-2.206809584,Neg,0.081,-2.84,Neg,,,,,,,,,,,,,,,,,,,,
253,Caprine,3/3/2021,4,5,0,5b,0.071,-4.098360656,Neg,0.096,-0.95,Neg,,,,,,,,,,,,,,,,,,,,
256,Bovine,3/3/2021,4,6,1,6a,0.064,-4.981084489,Neg,0.067,-4.6,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
261,Bovine,3/3/2021,4,6,1,6a,0.064,-4.981084489,Neg,1.225,141.42,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
268,Bovine,3/3/2021,4,6,1,6a,0.072,-3.972257251,Neg,0.823,90.73,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
272,Bovine,3/3/2021,4,6,1,6a,0.092,-1.450189155,Neg,0.072,-3.97,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
231,Caprine,3/3/2021,4,6,0,6b,0.068,-4.47667087,Neg,0.075,-3.59,Neg,,,,,,,,,,,,,,,,,,,,
240,Caprine,3/3/2021,4,6,0,6b,0.066,-4.72887768,Neg,0.065,-4.85,Neg,,,,,,,,,,,,,,,,,,,,
244,Caprine,3/3/2021,4,6,0,6b,0.068,-4.47667087,Neg,0.069,-4.35,Neg,,,,,,,,,,,,,,,,,,,,
250,Caprine,3/3/2021,4,6,0,6b,0.064,-4.981084489,Neg,0.101,-0.32,Neg,,,,,,,,,,,,,,,,,,,,
260,Bovine,6/3/2021,7,1,1,1a,0.09,0.61,Neg,0.081,-0.39,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
266,Bovine,6/3/2021,7,1,1,1a,0.187,11.36,Neg,0.178,10.36,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
274,Bovine,6/3/2021,7,1,1,1a,0.348,29.2,Pos,0.141,6.26,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
275,Bovine,6/3/2021,7,1,1,1a,0.191,11.8,Neg,0.078,-0.72,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
239,Caprine,6/3/2021,7,1,0,1b,0.099,1.61,Neg,0.07,-1.61,Neg,,,,,,,,,,,,,,,,,,,,
241,Caprine,6/3/2021,7,1,0,1b,0.09,0.61,Neg,0.073,-1.27,Neg,,,,,,,,,,,,,,,,,,,,
246,Caprine,6/3/2021,7,1,0,1b,0.08,-0.5,Neg,0.075,-1.05,Neg,,,,,,,,,,,,,,,,,,,,
255,Caprine,6/3/2021,7,1,0,1b,0.09,0.61,Neg,0.071,-1.5,Neg,,,,,,,,,,,,,,,,,,,,
259,Bovine,6/3/2021,7,2,1,2a,0.093,0.94,Neg,0.084,-0.06,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
262,Bovine,6/3/2021,7,2,1,2a,0.091,0.72,Neg,0.079,-0.61,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
263,Bovine,6/3/2021,7,2,1,2a,0.989,100.22,Pos,0.06,-2.71,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
271,Bovine,6/3/2021,7,2,1,2a,0.082,-0.28,Neg,0.079,-0.61,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
234,Caprine,6/3/2021,7,2,0,2b,0.077,-0.83,Neg,0.07,-1.61,Neg,,,,,,,,,,,,,,,,,,,,
235,Caprine,6/3/2021,7,2,0,2b,0.076,-0.94,Neg,0.353,29.75,Pos,,,,,,,,,,,,,,,,,,,,
252,Caprine,6/3/2021,7,2,0,2b,0.075,-1.05,Neg,0.082,-0.28,Neg,,,,,,,,,,,,,,,,,,,,
254,Caprine,6/3/2021,7,2,0,2b,0.082,-0.28,Neg,0.085,0.06,Neg,,,,,,,,,,,,,,,,,,,,
