eartag,species,date,dpi,barn,innoc,barni,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r
259,Bovine,16/3/2021,17,2,1,2a,0.06,-1.01,Neg,0.054,-1.59,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
262,Bovine,16/3/2021,17,2,1,2a,0.062,-0.82,Neg,0.054,-1.59,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
263,Bovine,16/3/2021,17,2,1,2a,0.089,1.79,Neg,0.077,0.63,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
271,Bovine,16/3/2021,17,2,1,2a,0.066,-0.43,Neg,0.05,-1.98,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
234,Caprine,16/3/2021,17,2,0,2b,0.059,-1.11,Neg,0.049,-2.08,Neg,,,,,,,,,,,,,,,,,,,,
235,Caprine,16/3/2021,17,2,0,2b,0.057,-1.3,Neg,0.051,-1.88,Neg,,,,,,,,,,,,,,,,,,,,
252,Caprine,16/3/2021,17,2,0,2b,0.065,-0.53,Neg,0.076,0.53,Neg,,,,,,,,,,,,,,,,,,,,
254,Caprine,16/3/2021,17,2,0,2b,0.063,-0.72,Neg,0.056,-1.4,Neg,,,,,,,,,,,,,,,,,,,,
233,Caprine,16/3/2021,17,3,1,3a,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
247,Caprine,16/3/2021,17,3,1,3a,0.341,26.11,Pos,0.17,9.6,Neg,,,,,,,,,,,,,,,,,,,,
236,Caprine,16/3/2021,17,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
243,Caprine,16/3/2021,17,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
258,Bovine,16/3/2021,17,5,1,5a,0.064,-0.63,Neg,0.116,4.39,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
265,Bovine,16/3/2021,17,5,1,5a,0.056,-1.4,Neg,0.134,6.13,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
269,Bovine,16/3/2021,17,5,1,5a,0.049,-2.08,Neg,0.118,4.58,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
273,Bovine,16/3/2021,17,5,1,5a,0.071,0.05,Neg,0.077,0.63,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
232,Caprine,16/3/2021,17,5,0,5b,0.056,-1.4,Neg,0.099,2.75,Neg,,,,,,,,,,,,,,,,,,,,
245,Caprine,16/3/2021,17,5,0,5b,0.062,-0.82,Neg,0.24,16.36,Neg,,,,,,,,,,,,,,,,,,,,
248,Caprine,16/3/2021,17,5,0,5b,0.076,0.53,Neg,0.068,-0.24,Neg,,,,,,,,,,,,,,,,,,,,
253,Caprine,16/3/2021,17,5,0,5b,0.051,-1.88,Neg,0.062,-0.82,Neg,,,,,,,,,,,,,,,,,,,,
256,Bovine,16/3/2021,17,6,1,6a,0.058,-1.21,Neg,0.055,-1.5,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
261,Bovine,16/3/2021,17,6,1,6a,0.051,-1.88,Neg,0.084,1.3,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
268,Bovine,16/3/2021,17,6,1,6a,0.063,-0.72,Neg,0.066,-0.43,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
272,Bovine,16/3/2021,17,6,1,6a,0.064,-0.63,Neg,0.056,-1.4,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
231,Caprine,16/3/2021,17,6,0,6b,0.054,-1.59,Neg,0.067,-0.34,Neg,,,,,,,,,,,,,,,,,,,,
240,Caprine,16/3/2021,17,6,0,6b,0.062,-0.82,Neg,0.065,-0.53,Neg,,,,,,,,,,,,,,,,,,,,
244,Caprine,16/3/2021,17,6,0,6b,0.057,-1.3,Neg,0.069,-0.14,Neg,,,,,,,,,,,,,,,,,,,,
250,Caprine,16/3/2021,17,6,0,6b,0.065,-0.53,Neg,0.079,0.82,Neg,,,,,,,,,,,,,,,,,,,,
260,Bovine,20/3/2021,21,1,1,1a,0.122,3.72,Neg,0.611,45.98,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
266,Bovine,20/3/2021,21,1,1,1a,0.135,4.84,Neg,0.481,34.75,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
274,Bovine,20/3/2021,21,1,1,1a,0.109,2.59,Neg,0.359,24.2,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
275,Bovine,20/3/2021,21,1,1,1a,0.174,8.21,Neg,0.213,11.58,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
239,Caprine,20/3/2021,21,1,0,1b,0.138,5.1,Neg,0.096,1.47,Neg,,,,,,,,,,,,,,,,,,,,
241,Caprine,20/3/2021,21,1,0,1b,0.131,4.49,Neg,0.12,3.54,Neg,,,,,,,,,,,,,,,,,,,,
246,Caprine,20/3/2021,21,1,0,1b,0.135,4.84,Neg,0.113,2.94,Neg,,,,,,,,,,,,,,,,,,,,
255,Caprine,20/3/2021,21,1,0,1b,0.13,4.41,Neg,0.089,0.86,Neg,,,,,,,,,,,,,,,,,,,,
259,Bovine,20/3/2021,21,2,1,2a,0.102,1.99,Neg,0.167,7.61,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
262,Bovine,20/3/2021,21,2,1,2a,0.144,5.62,Neg,0.092,1.12,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
263,Bovine,20/3/2021,21,2,1,2a,0.187,9.33,Neg,0.156,6.66,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
271,Bovine,20/3/2021,21,2,1,2a,0.224,12.53,Neg,0.1,1.82,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
234,Caprine,20/3/2021,21,2,0,2b,0.107,2.42,Neg,0.076,-0.26,Neg,,,,,,,,,,,,,,,,,,,,
235,Caprine,20/3/2021,21,2,0,2b,0.104,2.16,Neg,0.102,1.99,Neg,,,,,,,,,,,,,,,,,,,,
252,Caprine,20/3/2021,21,2,0,2b,0.126,4.06,Neg,0.09,0.95,Neg,,,,,,,,,,,,,,,,,,,,
254,Caprine,20/3/2021,21,2,0,2b,0.139,5.19,Neg,0.097,1.56,Neg,,,,,,,,,,,,,,,,,,,,
233,Caprine,20/3/2021,21,3,1,3a,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
247,Caprine,20/3/2021,21,3,1,3a,0.133,4.67,Neg,0.114,3.03,Neg,,,,,,,,,,,,,,,,,,,,
236,Caprine,20/3/2021,21,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
243,Caprine,20/3/2021,21,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
258,Bovine,20/3/2021,21,5,1,5a,0.092,1.12,Neg,0.145,5.7,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
265,Bovine,20/3/2021,21,5,1,5a,0.117,3.28,Neg,0.137,5.01,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
269,Bovine,20/3/2021,21,5,1,5a,0.085,0.52,Neg,0.087,0.69,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
273,Bovine,20/3/2021,21,5,1,5a,0.099,1.73,Neg,0.089,0.86,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
232,Caprine,20/3/2021,21,5,0,5b,0.101,1.9,Neg,0.076,-0.26,Neg,,,,,,,,,,,,,,,,,,,,
245,Caprine,20/3/2021,21,5,0,5b,0.13,4.41,Neg,0.119,3.46,Neg,,,,,,,,,,,,,,,,,,,,
248,Caprine,20/3/2021,21,5,0,5b,0.123,3.8,Neg,0.11,2.68,Neg,,,,,,,,,,,,,,,,,,,,
253,Caprine,20/3/2021,21,5,0,5b,0.109,2.59,Neg,0.086,0.61,Neg,,,,,,,,,,,,,,,,,,,,
256,Bovine,20/3/2021,21,6,1,6a,0.099,1.73,Neg,0.103,2.07,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
261,Bovine,20/3/2021,21,6,1,6a,0.114,3.03,Neg,0.198,10.29,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
268,Bovine,20/3/2021,21,6,1,6a,0.104,2.16,Neg,0.08,0.09,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
272,Bovine,20/3/2021,21,6,1,6a,0.097,1.56,Neg,0.143,5.53,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
231,Caprine,20/3/2021,21,6,0,6b,0.107,2.42,Neg,0.101,1.9,Neg,,,,,,,,,,,,,,,,,,,,
240,Caprine,20/3/2021,21,6,0,6b,0.086,0.61,Neg,0.104,2.16,Neg,,,,,,,,,,,,,,,,,,,,
244,Caprine,20/3/2021,21,6,0,6b,0.117,3.28,Neg,0.114,3.03,Neg,,,,,,,,,,,,,,,,,,,,
250,Caprine,20/3/2021,21,6,0,6b,0.119,3.46,Neg,0.105,2.25,Neg,,,,,,,,,,,,,,,,,,,,
260,Bovine,27/3/2021,28,1,1,1a,0.09,-0.28,Neg,0.16,6.35,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
266,Bovine,27/3/2021,28,1,1,1a,0.08,-1.12,Neg,0.23,13.26,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
274,Bovine,27/3/2021,28,1,1,1a,0.08,-0.93,Neg,0.1,0.47,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
275,Bovine,27/3/2021,28,1,1,1a,0.09,0.09,Neg,0.09,0.37,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
239,Caprine,27/3/2021,28,1,0,1b,0.07,-1.49,Neg,0.06,-2.52,Neg,,,,,,,,,,,,,,,,,,,,
241,Caprine,27/3/2021,28,1,0,1b,0.08,-1.03,Neg,0.05,-3.55,Neg,,,,,,,,,,,,,,,,,,,,
246,Caprine,27/3/2021,28,1,0,1b,0.07,-1.59,Neg,0.06,-2.52,Neg,,,,,,,,,,,,,,,,,,,,
255,Caprine,27/3/2021,28,1,0,1b,0.07,-2.15,Neg,0.06,-2.9,Neg,,,,,,,,,,,,,,,,,,,,
259,Bovine,27/3/2021,28,2,1,2a,0.07,-1.96,Neg,0.06,-2.99,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
262,Bovine,27/3/2021,28,2,1,2a,0.1,0.75,Neg,0.07,-2.06,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
263,Bovine,27/3/2021,28,2,1,2a,0.09,-0.19,Neg,0.08,-0.93,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
271,Bovine,27/3/2021,28,2,1,2a,0.07,-1.87,Neg,0.15,5.42,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
234,Caprine,27/3/2021,28,2,0,2b,0.07,-2.15,Neg,0.09,-0.09,Neg,,,,,,,,,,,,,,,,,,,,
235,Caprine,27/3/2021,28,2,0,2b,0.06,-2.62,Neg,0.06,-2.52,Neg,,,,,,,,,,,,,,,,,,,,
252,Caprine,27/3/2021,28,2,0,2b,0.06,-3.08,Neg,0.06,-3.27,Neg,,,,,,,,,,,,,,,,,,,,
254,Caprine,27/3/2021,28,2,0,2b,0.06,-2.99,Neg,0.07,-1.96,Neg,,,,,,,,,,,,,,,,,,,,
233,Caprine,27/3/2021,28,3,1,3a,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
247,Caprine,27/3/2021,28,3,1,3a,0.07,-2.15,Neg,0.06,-2.43,Neg,,,,,,,,,,,,,,,,,,,,
236,Caprine,27/3/2021,28,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
243,Caprine,27/3/2021,28,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
258,Bovine,27/3/2021,28,5,1,5a,0.09,-0.37,Neg,0.07,-1.87,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
265,Bovine,27/3/2021,28,5,1,5a,0.06,-3.18,Neg,0.4,28.68,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
269,Bovine,27/3/2021,28,5,1,5a,0.06,-2.43,Neg,0.07,-1.49,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
273,Bovine,27/3/2021,28,5,1,5a,0.06,-2.52,Neg,0.15,5.14,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
232,Caprine,27/3/2021,28,5,0,5b,0.17,7.1,Neg,0.08,-1.21,Neg,,,,,,,,,,,,,,,,,,,,
245,Caprine,27/3/2021,28,5,0,5b,0.06,-2.52,Neg,0.07,-1.77,Neg,,,,,,,,,,,,,,,,,,,,
248,Caprine,27/3/2021,28,5,0,5b,0.05,-3.36,Neg,0.09,0.09,Neg,,,,,,,,,,,,,,,,,,,,
253,Caprine,27/3/2021,28,5,0,5b,0.06,-3.18,Neg,0.08,-0.75,Neg,,,,,,,,,,,,,,,,,,,,
256,Bovine,27/3/2021,28,6,1,6a,0.06,-3.27,Neg,0.31,20.74,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
261,Bovine,27/3/2021,28,6,1,6a,0.06,-3.18,Neg,0.21,11.58,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
268,Bovine,27/3/2021,28,6,1,6a,0.07,-1.68,Neg,0.3,19.62,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
272,Bovine,27/3/2021,28,6,1,6a,0.06,-2.43,Neg,0.15,5.51,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
231,Caprine,27/3/2021,28,6,0,6b,0.06,-2.52,Neg,0.06,-2.71,Neg,,,,,,,,,,,,,,,,,,,,
240,Caprine,27/3/2021,28,6,0,6b,0.06,-3.08,Neg,0.07,-1.77,Neg,,,,,,,,,,,,,,,,,,,,
244,Caprine,27/3/2021,28,6,0,6b,0.06,-3.27,Neg,0.06,-2.71,Neg,,,,,,,,,,,,,,,,,,,,
250,Caprine,27/3/2021,28,6,0,6b,0.06,-3.08,Neg,0.06,-2.71,Neg,,,,,,,,,,,,,,,,,,,,
260,Bovine,31/3/2021,32,1,1,1a,0.11,1.23,Neg,0.098,0.32,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
266,Bovine,31/3/2021,32,1,1,1a,0.11,1.36,Neg,0.249,10.07,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
274,Bovine,31/3/2021,32,1,1,1a,0.11,1.16,Neg,0.105,0.77,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
275,Bovine,31/3/2021,32,1,1,1a,0.09,-0.19,Neg,0.206,7.29,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
239,Caprine,31/3/2021,32,1,0,1b,0.09,-0.13,Neg,0.095,0.13,Neg,,,,,,,,,,,,,,,,,,,,
241,Caprine,31/3/2021,32,1,0,1b,0.11,1.03,Neg,0.094,0.06,Neg,,,,,,,,,,,,,,,,,,,,
246,Caprine,31/3/2021,32,1,0,1b,0.11,1.03,Neg,0.087,-0.39,Neg,,,,,,,,,,,,,,,,,,,,
255,Caprine,31/3/2021,32,1,0,1b,0.1,0.39,Neg,0.093,0,Neg,,,,,,,,,,,,,,,,,,,,
259,Bovine,31/3/2021,32,2,1,2a,0.1,0.45,Neg,0.105,0.77,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
262,Bovine,31/3/2021,32,2,1,2a,0.11,0.9,Neg,0.088,-0.32,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
263,Bovine,31/3/2021,32,2,1,2a,0.16,4.39,Neg,0.123,1.94,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
271,Bovine,31/3/2021,32,2,1,2a,0.11,1.03,Neg,0.081,-0.77,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
234,Caprine,31/3/2021,32,2,0,2b,0.08,-1.16,Neg,0.094,0.06,Neg,,,,,,,,,,,,,,,,,,,,
235,Caprine,31/3/2021,32,2,0,2b,0.09,-0.13,Neg,0.115,1.42,Neg,,,,,,,,,,,,,,,,,,,,
252,Caprine,31/3/2021,32,2,0,2b,0.1,0.58,Neg,0.091,-0.13,Neg,,,,,,,,,,,,,,,,,,,,
254,Caprine,31/3/2021,32,2,0,2b,0.1,0.32,Neg,0.086,-0.45,Neg,,,,,,,,,,,,,,,,,,,,
233,Caprine,31/3/2021,32,3,1,3a,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
247,Caprine,31/3/2021,32,3,1,3a,0.13,2.65,Neg,0.115,1.42,Neg,,,,,,,,,,,,,,,,,,,,
236,Caprine,31/3/2021,32,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
243,Caprine,31/3/2021,32,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
258,Bovine,31/3/2021,32,5,1,5a,0.084,-0.580832527,Neg,0.111,1.16,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
265,Bovine,31/3/2021,32,5,1,5a,0.095,0.129073895,Neg,0.101,0.52,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
269,Bovine,31/3/2021,32,5,1,5a,0.097,0.25814779,Neg,0.089,-0.26,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
273,Bovine,31/3/2021,32,5,1,5a,0.109,1.032591158,Neg,0.086,-0.45,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
232,Caprine,31/3/2021,32,5,0,5b,0.085,-0.516295579,Neg,0.096,0.19,Neg,,,,,,,,,,,,,,,,,,,,
245,Caprine,31/3/2021,32,5,0,5b,0.092,-0.064536947,Neg,0.121,1.81,Neg,,,,,,,,,,,,,,,,,,,,
248,Caprine,31/3/2021,32,5,0,5b,0.094,0.064536947,Neg,0.088,-0.32,Neg,,,,,,,,,,,,,,,,,,,,
253,Caprine,31/3/2021,32,5,0,5b,0.083,-0.645369474,Neg,0.083,-0.65,Neg,,,,,,,,,,,,,,,,,,,,
256,Bovine,31/3/2021,32,6,1,6a,0.084,-0.580832527,Neg,0.091,-0.13,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
261,Bovine,31/3/2021,32,6,1,6a,0.085,-0.516295579,Neg,0.092,-0.06,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
268,Bovine,31/3/2021,32,6,1,6a,0.093,0,Neg,0.154,3.94,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
272,Bovine,31/3/2021,32,6,1,6a,0.094,0.064536947,Neg,0.105,0.77,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
231,Caprine,31/3/2021,32,6,0,6b,0.077,-1.032591158,Neg,0.102,0.58,Neg,,,,,,,,,,,,,,,,,,,,
240,Caprine,31/3/2021,32,6,0,6b,0.112,1.226202001,Neg,0.096,0.19,Neg,,,,,,,,,,,,,,,,,,,,
244,Caprine,31/3/2021,32,6,0,6b,0.099,0.387221684,Neg,0.078,-0.97,Neg,,,,,,,,,,,,,,,,,,,,
250,Caprine,31/3/2021,32,6,0,6b,0.094,0.064536947,Neg,0.094,0.06,Neg,,,,,,,,,,,,,,,,,,,,
260,Bovine,3/4/2021,35,1,1,1a,0.073,0.883116883,Neg,0.064,-0.05,Neg,,no testing on dpi 35 for qRTPCR,,,,,,,,,,,,,,,,,,
266,Bovine,3/4/2021,35,1,1,1a,0.074,0.987012987,Neg,0.089,2.55,Neg,,,,,,,,,,,,,,,,,,,,
274,Bovine,3/4/2021,35,1,1,1a,0.078,1.402597403,Neg,0.098,3.48,Neg,,,,,,,,,,,,,,,,,,,,
275,Bovine,3/4/2021,35,1,1,1a,0.1,3.688311688,Neg,0.094,3.06,Neg,,,,,,,,,,,,,,,,,,,,
239,Caprine,3/4/2021,35,1,0,1b,0.071,0.675324675,Neg,0.068,0.36,Neg,,,,,,,,,,,,,,,,,,,,
241,Caprine,3/4/2021,35,1,0,1b,0.085,2.12987013,Neg,0.076,1.19,Neg,,,,,,,,,,,,,,,,,,,,
246,Caprine,3/4/2021,35,1,0,1b,0.085,2.12987013,Neg,0.074,0.99,Neg,,,,,,,,,,,,,,,,,,,,
255,Caprine,3/4/2021,35,1,0,1b,0.079,1.506493506,Neg,0.072,0.78,Neg,,,,,,,,,,,,,,,,,,,,
259,Bovine,3/4/2021,35,2,1,2a,0.09,2.649350649,Neg,0.064,-0.05,Neg,,,,,,,,,,,,,,,,,,,,
262,Bovine,3/4/2021,35,2,1,2a,0.071,0.675324675,Neg,0.065,0.05,Neg,,,,,,,,,,,,,,,,,,,,
263,Bovine,3/4/2021,35,2,1,2a,0.083,1.922077922,Neg,0.076,1.19,Neg,,,,,,,,,,,,,,,,,,,,
271,Bovine,3/4/2021,35,2,1,2a,0.091,2.753246753,Neg,0.067,0.26,Neg,,,,,,,,,,,,,,,,,,,,
234,Caprine,3/4/2021,35,2,0,2b,0.065,0.051948052,Neg,0.066,0.16,Neg,,,,,,,,,,,,,,,,,,,,
235,Caprine,3/4/2021,35,2,0,2b,0.065,0.051948052,Neg,0.069,0.47,Neg,,,,,,,,,,,,,,,,,,,,
252,Caprine,3/4/2021,35,2,0,2b,0.069,0.467532468,Neg,0.068,0.36,Neg,,,,,,,,,,,,,,,,,,,,
254,Caprine,3/4/2021,35,2,0,2b,0.093,2.961038961,Neg,0.076,1.19,Neg,,,,,,,,,,,,,,,,,,,,
233,Caprine,3/4/2021,35,3,1,3a,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
247,Caprine,3/4/2021,35,3,1,3a,0.08,1.71,Neg,0.078,1.4,Neg,,,,,,,,,,,,,,,,,,,,
236,Caprine,3/4/2021,35,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
243,Caprine,3/4/2021,35,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
258,Bovine,3/4/2021,35,5,1,5a,0.07,0.57,Neg,0.086,2.23,Neg,,,,,,,,,,,,,,,,,,,,
265,Bovine,3/4/2021,35,5,1,5a,0.07,0.47,Neg,0.076,1.19,Neg,,,,,,,,,,,,,,,,,,,,
269,Bovine,3/4/2021,35,5,1,5a,0.07,0.99,Neg,0.082,1.82,Neg,,,,,,,,,,,,,,,,,,,,
273,Bovine,3/4/2021,35,5,1,5a,0.09,2.75,Neg,0.102,3.9,Neg,,,,,,,,,,,,,,,,,,,,
232,Caprine,3/4/2021,35,5,0,5b,0.07,0.78,Neg,0.068,0.36,Neg,,,,,,,,,,,,,,,,,,,,
245,Caprine,3/4/2021,35,5,0,5b,0.07,0.68,Neg,0.07,0.57,Neg,,,,,,,,,,,,,,,,,,,,
248,Caprine,3/4/2021,35,5,0,5b,0.07,0.36,Neg,0.07,0.57,Neg,,,,,,,,,,,,,,,,,,,,
253,Caprine,3/4/2021,35,5,0,5b,0.08,1.3,Neg,0.091,2.75,Neg,,,,,,,,,,,,,,,,,,,,
256,Bovine,3/4/2021,35,6,1,6a,0.07,0.68,Neg,0.064,-0.05,Neg,,,,,,,,,,,,,,,,,,,,
261,Bovine,3/4/2021,35,6,1,6a,0.06,-0.05,Neg,0.085,2.13,Neg,,,,,,,,,,,,,,,,,,,,
268,Bovine,3/4/2021,35,6,1,6a,0.09,2.44,Neg,0.099,3.53,Neg,,,,,,,,,,,,,,,,,,,,
272,Bovine,3/4/2021,35,6,1,6a,0.08,1.09,Neg,0.075,1.09,Neg,,,,,,,,,,,,,,,,,,,,
231,Caprine,3/4/2021,35,6,0,6b,0.07,0.26,Neg,0.067,0.26,Neg,,,,,,,,,,,,,,,,,,,,
240,Caprine,3/4/2021,35,6,0,6b,0.08,1.3,Neg,0.086,2.23,Neg,,,,,,,,,,,,,,,,,,,,
244,Caprine,3/4/2021,35,6,0,6b,0.09,2.34,Neg,0.072,0.78,Neg,,,,,,,,,,,,,,,,,,,,
250,Caprine,3/4/2021,35,6,0,6b,0.08,1.61,Neg,0.095,3.17,Neg,,,,,,,,,,,,,,,,,,,,
