eartag,barn,species,sex,dpi,media,o1,o2,o3,o4,o5,n1,n2,n3,n4,n5,r1,r2,r3,r4,r5
13,1,S,M,17,dpbs,,,,,,,,,,,,,,,
14,1,S,M,17,dpbs,,,,,,,,,,,,,,,
58,1,G,M,17,dpbs,,,,,,,,,,,,,,,
64,1,S,F,17,dpbs,,,,,,,,,,,,,,,
808,1,G,M,17,dpbs,,,,,,,,,,,,,,,
6,3,S,M,17,dpbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3,S,M,17,dpbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,S,F,17,dpbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,S,F,17,dpbs,0,0,0,0,0,,,,,,,,,,
26,5,G,F,17,dpbs,0,0,0,0,0,,,,,,,,,,
28,5,G,M,17,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,5,G,M,17,dpbs,0,0,0,0,0,,,,,,,,,,
827,5,G,M,17,dpbs,0,0,0,0,0,,,,,,,,,,
6,3,S,M,17,dmem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,S,F,17,dmem,0,0,0,0,0,,,,,,,,,,
28,5,G,M,17,dmem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,5,G,M,17,dmem,0,0,0,0,0,,,,,,,,,,
11,1,G,F,21,dpbs,,,,,,,,,,,,,,,
13,1,S,M,21,dpbs,,,,,,,,,,,,,,,
14,1,S,M,21,dpbs,,,,,,,,,,,,,,,
58,1,G,M,21,dpbs,,,,,,,,,,,,,,,
64,1,S,F,21,dpbs,,,,,,,,,,,,,,,
808,1,G,M,21,dpbs,,,,,,,,,,,,,,,
6,3,S,M,21,dpbs,0,0,0,0,0,,,,,,0,0,0,0,0
16,3,S,M,21,dpbs,0,0,0,0,0,,,,,,0,0,0,0,0
35,3,S,F,21,dpbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,S,F,21,dpbs,,,,,,,,,,,,,,,
26,5,G,F,21,dpbs,,,,,,,,,,,,,,,
28,5,G,M,21,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,5,G,M,21,dpbs,0,0,0,0,0,,,,,,0,0,0,0,0
827,5,G,M,21,dpbs,0,0,0,0,0,,,,,,,,,,
6,3,S,M,21,dmem,0,0,0,0,0,,,,,,0,0,0,0,0
51,3,S,F,21,dmem,,,,,,,,,,,,,,,
28,5,G,M,21,dmem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,5,G,M,21,dmem,0,0,0,0,0,,,,,,0,0,0,0,0
11,1,G,F,28,dpbs,,,,,,,,,,,,,,,
13,1,S,M,28,dpbs,,,,,,,,,,,,,,,
14,1,S,M,28,dpbs,,,,,,,,,,,,,,,
58,1,G,M,28,dpbs,,,,,,,,,,,,,,,
64,1,S,F,28,dpbs,,,,,,,,,,,,,,,
808,1,G,M,28,dpbs,,,,,,,,,,,,,,,
6,3,S,M,28,dpbs,0,0,0,0,0,0,0,0,0,0,,,,,
16,3,S,M,28,dpbs,0,0,0,0,0,0,0,0,0,0,,,,,
35,3,S,F,28,dpbs,0,0,0,0,0,0,0,0,0,0,,,,,
51,3,S,F,28,dpbs,0,0,0,0,0,,,,,,,,,,
26,5,G,F,28,dpbs,,,,,,,,,,,,,,,
28,5,G,M,28,dpbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,5,G,M,28,dpbs,,,,,,0,0,0,0,0,0,0,0,0,0
827,5,G,M,28,dpbs,,,,,,,,,,,,,,,
6,3,S,M,28,dmem,0,0,0,0,0,0,0,0,0,0,,,,,
51,3,S,F,28,dmem,0,0,0,0,0,,,,,,,,,,
28,5,G,M,28,dmem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,5,G,M,28,dmem,,,,,,0,0,0,0,0,0,0,0,0,0
